P1,P2,P3,P4,P5,P6,P7,P8
0,0,0,0,176,16,105,229
0,0,0,0,16,16,133,97
0,0,0,0,236,16,78,6
0,0,0,0,68,16,97,113
0,0,0,0,28,14,97,71
0,0,0,0,196,10,117,255
0,0,0,0,216,12,45,205
0,0,0,0,124,13,34,103
0,0,0,0,248,13,182,119
0,0,0,0,20,13,224,189
0,0,0,0,140,14,57,143
0,0,0,0,236,14,139,65
0,0,0,0,172,15,3,122
0,0,0,0,48,16,118,114
0,0,0,0,96,16,146,190
0,0,0,0,136,16,176,4
0,0,0,0,212,17,132,37
0,0,0,0,188,18,30,168
0,0,0,0,200,19,23,174
0,0,0,0,216,19,31,198
0,0,0,0,68,19,183,202
0,0,0,0,200,19,163,58
0,0,0,0,240,19,163,98
0,0,0,0,120,17,172,241
0,0,0,0,232,17,141,66
0,0,0,0,228,17,161,82
0,0,0,0,20,19,104,75
0,0,0,0,56,19,137,144
0,0,0,0,76,19,126,153
0,0,0,0,124,19,148,223
0,0,0,0,152,19,224,71
0,0,0,0,116,20,36,104
0,0,0,0,120,20,181,253
0,0,0,0,160,21,126,239
0,0,0,0,28,21,70,51
0,0,0,0,72,21,62,87
0,0,0,0,108,20,191,251
0,0,0,0,224,20,148,68
0,0,0,0,120,19,206,21
0,0,0,0,152,19,175,22
0,0,0,0,196,16,104,248
0,0,0,0,88,16,88,124
0,0,0,0,248,18,40,238
0,0,0,0,128,19,66,145
0,0,0,0,92,20,75,119
0,0,0,0,228,20,29,209
0,0,0,0,8,20,25,241
0,0,0,0,20,20,37,9
0,0,0,0,108,20,18,78
0,0,0,0,120,20,28,100
0,0,0,0,244,15,182,117
